Region,Keyword,,xpath,xpathTitle,xpathLink,targetFileType,textXpath
???,??????;????????,"http://minhou.fuzhou.gov.cn/was5/web/search?channelid=290792&templet=advsch.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=21571&prepage=20&page=1",,,,,
???,????,"http://ytx.fuzhou.gov.cn/was5/web/search?channelid=290792&templet=advsch.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=30568&prepage=15&page=1",,,,,
???,????????;??????????,"http://fq.fuzhou.gov.cn/was5/web/search?channelid=290792&templet=advsch-lj.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=47571&prepage=15&page=1",,,,,
???,???????;?????????,http://www.pingtan.gov.cn/jhtml/cn/7384?cnid=7384&subCnId=-1&comefrom=-1&releaseYear=-1&imgView=0&titleImg=0&pagenumber=4,/html/body/div/div/div/div/ul/li/a,/@title,/@href,,
???,????;???????,http://hbj.xm.gov.cn/zwgk/hjjgxxgk/xzcf/index.htm,/html/body/div/div[3]/table/tbody/tr/td[2]/div/ul/li/a,/@title,/@href,,
???,???????;?????,http://hbj.xm.gov.cn/qj/sm/gsgk/09/index.htm,/html/body/div[1]/div[3]/table/tbody/tr/td/div/ul/li/a,/@title,/@href,,
???,???????,http://www.huli.gov.cn/zwgk/xzdgk/hjbh/hjbhzfjg/index.htm,/html/body/div[1]/div[4]/div/div/div/ul/li/a,/@title,/@href,,
???,???????,"http://www.haicang.gov.cn/was5/web/search?channelid=241453&templet=docs_was_jsonp.jsp&classsql=channelid=40029,40572,40576,40575,40574,40573,40577,40609,40610,40611,40612,40613,40614,40615,40616,40617,40619&page=2&prepage=15&callback=pushInfoJsonpCallBack&_=1557223300111",,,,,
,???????,/html/body/div/div[3]/table/tbody/tr/td[2]/div[2]/ul/li[1]/a,/html/body/div[1]/div[4]/div/div/div/ul/li/a,/@title,/@href,,
???,???????,http://hbj.xm.gov.cn/qj/jm/gsgk/09/index.htm,/html/body/div/div[3]/table/tbody/tr/td/div/ul/li/a,/@title,/@href,,
???,???????,http://hbj.xm.gov.cn/qj/jm/gsgk/09/index.htm,,,,,
???,???????,http://hbj.xm.gov.cn/qj/jm/gsgk/09/index.htm,,,,,
???,???????,,,,,,
,???????????,,,,,,
???,?????????;????????,http://www.fjax.gov.cn/zwgk/zdgkxx/hjbh/hjbhzfjg/index.htm,/html/body/div/div[3]/div/div/div/ul/li/a,/@title,/@href,,
???,???????;?????????,http://www.fjyc.gov.cn/xxgklist.aspx?p=1&ctlgid=212326,/html/body/div[2]/div[2]/div/div/div/ul/li/a,/@title,/@href,,
???,???????;??????????????,http://www.huian.gov.cn/PartArticle.aspx?c=665&Page=2,/html/body/form/div[12]/div/div/ul/li/a,/@title,/@href,,
???,???????,http://www.qzlc.gov.cn/xxgk/hjbhxx/jsxmsp/index_1.htm?page=2,/html/body/div[2]/div[3]/div/div/div/div/ul/li/a,/@title,/@href,,
???,??????,http://www.qzfz.gov.cn/xzcf1/index.html,/html/body/div/div[5]/div/div/div/ul/li/a,/@title,/@href,,
???,????????;??????;?????? ,http://www.qzlj.gov.cn/Pub/news-179-1.html,/html/body/div/div[5]/div[2]/div/div/ul/li/a,/@title,/@href,,
???,??????????;??????,http://www.qg.gov.cn/qg/view/divtreelist_main_02.jsp?siteunid=BF015165744847119112888A3D259842&id=7B3B236F450DFB83A125E7D01B5F72E7&pager.offset=0&maxPageItems=1000&currpage=0,/html/body/table/tbody/tr/td/table[1]/tbody/tr[1]/td/table/tbody/tr/td/a,/@title,/@href,,
???,????,http://120.35.29.56/xzzf/web/fjxzcf/jsp/power/powerListSearch.jsp?powerid=&powername=&deptsel=752AB52F89C25DE740DBEFC4808B2EFE&powertypesel=CF&page=1&size=12,,,,,
???,??????,http://www.shishi.gov.cn/zwgk/zwgkzdgz/hjbh/wfajcc/,/html/body/div[2]/div[3]/div[3]/div[2]/div/ul/li/a,/@title,/@href,text,
???,???????,http://www.nanan.gov.cn/zwgk/ztzl/lszt/nasyfxzjyzl/fzdt/,/html/body/div[5]/div[2]/div[2]/div/ul/li/a,/@title,/@href,,
???,???????,,,,,,
???,?????????;??????????????,,,,,,
???,???????;?????,http://www.fjnj.gov.cn/cms/sitemanage/index.shtml?siteId=60421385054980000&page=1,,,,,
???,???????;?????,http://www.xc.gov.cn/cms/infopublic/publicInfoView.shtml?siteId=60428110145100000&cssFile=/jeaf/tree/css/tree.css&page=2,,,,,
???,?????????;?????????????;????????????;???????????????????????????;??????????,http://www.longhai.gov.cn/cms/infopublic/publicInfoView.shtml?siteId=60428214294400000&cssFile=/jeaf/tree/css/tree.css&page=1,/html/body/div[2]/ul/li/span/a,/@title,/@href,htmlTable,
???,?????????,http://www.yunxiao.gov.cn/cms/siteresource/search.shtml?key=????????????&searchSiteId=60427497057900000&siteId=60427497057900000&currentFormApplicationName=cms/sitemanage&currentFormName=quickSiteSearch&pageName=quickSiteSearch&queryString=siteId=60427497057900000&requestCode=115edfd7ad710908b5baa9ada102603c5f88a3f6556646591a8c7d99be9a2d0aea9e4b757124a3f8ef5004dcba747e76a292bca24b7649bd9565c458741a6af58bb175b4a84cad38&page=2,/html/body/div[2]/div/div[3]/ul/li/a,,/@href,text,
???,???????,http://www.zhangpu.gov.cn/cms/infopublic/publicInfoView.shtml?siteId=60424063433010000&cssFile=/jeaf/tree/css/tree.css&page=1,/html/body/div[2]/ul/li/span/a,text(),/@href,text,
???,???????;?????????,http://www.zhaoan.gov.cn/cms/infopublic/publicInfoView.shtml?siteId=60427932503940000&cssFile=/jeaf/tree/css/tree.css&page=1,/html/body/div[2]/ul/li/span/a,text(),/@href,text,
???,???????;??????,http://www.changtai.gov.cn/cms/infopublic/publicInfoView.shtml?directoryId=30411563287260000&rootDirectoryId=&siteId=60426815706320000&countPublicInfo=true&seq=0.991768745222995&page=1,/html/body/div/ul/li/span/a,text(),/@href,text;htmlTable,
???,???????;?????;?????????,http://www.dongshandao.gov.cn/cms/infopublic/publicInfoView.shtml?siteId=60426749844010000&cssFile=/jeaf/tree/css/tree.css&page=1,/html/body/div[2]/ul/li/span/a,text(),/@href,text,
???,?????????;??????????????,http://www.pinghe.gov.cn/cms/infopublic/publicInfoView.shtml?siteId=60426987516510000&cssFile=/jeaf/tree/css/tree.css&page=1,/html/body/div[2]/ul/li/span/a,text(),/@href,text,
???,???????;????????,http://www.huaan.gov.cn/cms/infopublic/publicInfoView.shtml?siteId=60427415584290000&cssFile=/jeaf/tree/css/tree.css&page=1,/html/body/div[2]/ul/li/span/a,text(),/@href,text;QRCode ??,
???,????????;??????,http://www.lwq.gov.cn/cms/siteresource/search.shtml?key=????????&searchSiteId=60425269663040000&siteId=60425269663040000&currentFormApplicationName=cms/sitemanage&currentFormName=quickSiteSearch&pageName=quickSiteSearch&queryString=key=%E8%A1%8C%E6%94%BF%E5%A4%84%E7%BD%9A%E4%BF%A1%E6%81%AF%E5%85%AC%E7%A4%BA&searchSiteId=60425269663040000&siteId=60425269663040000&currentFormApplicationName=cms%2Fsitemanage&currentFormName=quickSiteSearch&pageName=quickSiteSearch&requestCode=115edfd7ad710908b5baa9ada102603c5f88a3f6556646591a8c7d99be9a2d0aea9e4b757124a3f8ef5004dcba747e76a292bca24b7649bd9565c458741a6af58bb175b4a84cad38&requestCode=115edfd7ad710908b5baa9ada102603c5f88a3f6556646591a8c7d99be9a2d0aea9e4b757124a3f8ef5004dcba747e76a292bca24b7649bd9565c458741a6af58bb175b4a84cad38&page=1,/html/body/div/ul/li/span/a,text(),/@href,htmlTable,
,,http://www.lwq.gov.cn/cms/siteresource/search.shtml?key=??????&searchSiteId=60425269663040000&siteId=60425269663040000&currentFormApplicationName=cms/sitemanage&currentFormName=quickSiteSearch&pageName=quickSiteSearch&requestCode=115edfd7ad710908b5baa9ada102603c5f88a3f6556646591a8c7d99be9a2d0aea9e4b757124a3f8ef5004dcba747e76a292bca24b7649bd9565c458741a6af58bb175b4a84cad38&page=1,/html/body/div/ul/li/span/a,text(),/@href,htmlTable,
???,???????;?????????,http://hbj.longyan.gov.cn/wlygk/cf/index.htm,/html/body/table/tbody/tr[2]/td/table/tbody/tr/td[2]/table[3]/tbody/tr/td/a,text(),/@href,text,
???,???????;?????????,http://www.fjxinluo.gov.cn/xxgk/zdxxgk/hjbh/wfajcc/index.htm,/html/body/div[2]/div[4]/div/div/div/ul/li/a,/@title,/@href,text,
???,???????;????,http://www.yongding.gov.cn/xxgk/zdxxgk/hjbh/wfajcc/index.htm,/html/body/div/div/div[3]/div[2]/div[2]/div/ul/li/a,/@title,/@href,pdf link,
???,???????,http://www.changting.gov.cn/xxgk/hjbh/hjjg/index.htm,/html/body/div[1]/div/div[5]/div[2]/div[2]/div[2]/div[2]/div/ul/li/a,/@title,/@href,text,
???,???????;????,http://www.fjlylc.gov.cn/xxgk/zdxxgk/hjbh/wfajcc/index.htm,/html/body/div[2]/div[2]/div[4]/div[3]/div[1]/div/ul/li/a,/@title,/@href,text,
???,????;???????;????,http://www.shanghang.gov.cn/zwgk/zwgkzdgz/hjbh/hjxzcf/index.htm,/html/body/div[5]/div/div[2]/div[2]/ul/li/a,/@title,/@href,text,
???,???????,http://www.wp.gov.cn/xx/zfxxgk/zfzcbm/hbj/zfxxgkml/19_30840/index.htm,/html/body/table/tbody/tr/td/a,text(),/@href,text,
???,???????;?????,http://www.zp.gov.cn/xxgk/zdxxgk/hjbh/zdpwgkqk/index.htm,/html/body/div[5]/div[2]/div/ul/li/a,text(),/@href,pdf link,
,????????;????(?),http://www.np.gov.cn/cms/sitemanage/index.shtml?siteId=100453601142360000&page=2,/html/body/div[3]/div[2]/div/ul/li/a,text(),/@href,pdf link,
???,???????,http://www.shaowu.gov.cn/cms/sitemanage/index.shtml?siteId=280419467582270000&page=1,/html/body/div[1]/div[4]/ul/li/a,text(),/@href,text,
???,???????;?????,http://www.jo.gov.cn/cms/sitemanage/index.shtml?siteId=100317460059610002&page=1,/html/body/div[2]/div[2]/div/ul/li/a,text(),/@href,text,
???,???????,http://www.jyszfw.gov.cn/cms/sitemanage/index.shtml?siteId=20309568728890000&page=1,/html/body/table[4]/tbody/tr/td[2]/div[4]/table[1]/tbody/tr/td/div/div/a,text(),/@href,text,
,?????????,http://www.jyszfw.gov.cn/cms/sitemanage/index.shtml?siteId=20309568714500000&page=1,/html/body/table[4]/tbody/tr/td[2]/div[4]/table[1]/tbody/tr/td/div/div/a,text(),/@href,text,
???,????;???????;????;?????????;???????;????????;?????;?????????,http://www.guangze.gov.cn/cms/sitemanage/index.shtml?siteId=500312617807210000&page=1,/html/body/table[4]/tbody/tr/td[2]/div[4]/table[1]/tbody/tr/td/div/div/a,text(),/@href,text,
???,???????;????????,http://www.ypzf.gov.cn/cms/cms/sitemanage/index.shtml?siteId=110408602076510000&page=1,/html/body/div[3]/div[2]/div[2]/div/div[2]/table/tbody/tr/td/div/div/div/a,text(),/@href,text;??,
???,???????;????;????????,http://www.fjsc.gov.cn/cms/sitemanage/index.shtml?siteId=540345028037900000&page=1,/html/body/div[2]/div[2]/div[2]/div[2]/ul/li/a,text(),/@href,pdf link,
???,???????;?????;?????,http://www.pc.gov.cn/cms/sitemanage/index.shtml?siteId=590372921132860000&page=1,/html/body/div[2]/div/div[2]/div[2]/ul/li/a,text(),/@href,text,
???,???????;?????;???????????;,http://www.songxi.gov.cn/cms/infopublic/publicInfoView.shtml?siteId=100251368561500000&cssFile=/jeaf/tree/css/tree.css&page=1,/html/body/div[1]/div[2]/ul/li/span/a,text(),/@href,text,
???,???????,http://www.zhenghe.gov.cn/Web/xxgk/DirectoryList.aspx?jg=10877&page=1,/html/body/div[2]/div[2]/table/tbody/tr/td/a,text(),/@href,text,
????,???????;?????,http://www.wys.gov.cn/search/default.aspx?p=2&txtkeyword=???????&newstype=&txtStarTime=&txtEndTime=,/html/body/main/div/ul/li/div/a,text(),/@href,text,
,,http://www.wys.gov.cn/search/default.aspx?p=2&txtkeyword=?????&newstype=&txtStarTime=&txtEndTime=,/html/body/main/div/ul/li/div/a,text(),/@href,text,
,?????,http://www.wys.gov.cn/xxgklist.aspx?p=1&ctlgid=761631,/html/body/main/div/ul/li/div/a,text(),/@href,text,
,???????;?????,http://www.wys.gov.cn/zfmllist.aspx?p=5&ctlgid=38185361,/html/body/main/div/ul/li/div/a,text(),/@href,text,
???,???????????,,,,,,
,???????,,,,,,
???,???????;????????,"http://www.ml.gov.cn/was5/web/search?channelid=212807&sortfield=-docorderpri,-docreltime&classsql=chnlid=20138&prepage=1000&page=1",,,,text,
???,???????,http://www.smsy.gov.cn/was5/web/search?channelid=212807&templet=docs.jsp&sortfield=-pubdate&classsql=parentid=12209*modal=1*puborg=%????????%&prepage=1000&page=1,,,,text,
???,???????;????,http://www.ya.gov.cn/was5/web/search?channelid=212807&templet=docs.jsp&sortfield=-pubdate&classsql=chnldocurl='%http://www.ya.gov.cn/zfxxgkzl/bmzfxxgkml/%'*modal=1*chnldocurl='%http://www.ya.gov.cn/zfxxgkzl/bmzfxxgkml/%'*puborg=%????????%&prepage=1000&page=1,,,,text,
??,???????;?????;???????????;,http://www.fjsx.gov.cn/was5/web/search?channelid=212807&templet=docs.jsp&sortfield=-pubdate&classsql=chnldocurl='%http://www.fjsx.gov.cn/wzq/bmwz/sthjj/zfxxgkzl/zfxxgkml/%'&prepage=1000&page=1,,,,text,
???,???????;????;???????????,"http://www.fjyx.gov.cn/was5/web/search?channelid=212807&templet=advsch.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=20217&prepage=1000&page=1",,,,text,
???,???????,"http://www.datian.gov.cn/was5/web/search?channelid=212807&sortfield=-docorderpri,-docreltime&classsql=chnlid=15757&prepage=1000&page=1",,,,text,
???,???????;????,http://www.fjmx.gov.cn/zwgk/hjbh/index.htm,/html/body/div[2]/div/div[2]/div[2]/div/div[2]/div/ul/li/a,text(),/@href,text,
???,???????;???????,"http://www.fjql.gov.cn/was5/web/search?channelid=212807&templet=advsch.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=19973&prepage=1000&page=1",,,,doc,
???,???????,"http://www.fjnh.gov.cn/was5/web/search?channelid=212807&templet=advsch.jsp&sortfield=-docorderpri,-docreltime&classsql=???????*(chnlid=15242^chnlid=14985)&prepage=1000&page=1",,,,text,
???,???????;?????????;???????????;,"http://www.jiangle.gov.cn/was5/web/search?channelid=212807&templet=advsch.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=12311&prepage=1000&page=1",,,,jpg,
???,???????;????????;???????????;,http://www.fjtn.gov.cn/was5/web/search?channelid=212807&templet=docs.jsp&sortfield=-pubdate&classsql=modal=1*idxid=%sm08124%*parentid=13013&prepage=1000&page=1,,,,jpg,
???,???????;?????????????;???????????;???????;??????????;????????,http://www.fjjn.gov.cn/was5/web/search?channelid=212807&templet=docs.jsp&sortfield=-pubdate&classsql=modal=1*chnldocurl='%http://www.fjjn.gov.cn/zfxxgkzl/bmzfxxgk/%'*puborg=%????????%&prepage=1000&page=1,,,,text,
???,???????;??????;?????????,"http://www.ptepb.gov.cn/was5/web/search?channelid=210831&templet=docs.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=24940&page=1&prepage=1000",,,,text,
???,???????;????,"http://www.chengxiang.gov.cn/was5/web/search?channelid=210831&templet=docs.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=32037&prepage=1000&page=1",,,,text,
???,???????;????;????,"http://www.ptlc.gov.cn/was5/web/search?channelid=210831&templet=docs.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=26350&prepage=1000&page=1",,,,text,
???,??????;????;????;???????,"http://www.pthj.gov.cn/was5/web/search?channelid=210831&templet=docs.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=31913&prepage=1000&page=1",,,,text,
???,???????,"http://www.ptxy.gov.cn/was5/web/search?channelid=210831&templet=docs.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=26313&prepage=1000&page=1",,,,text,
??????????,,,,,,,
???,,,,,,,
???,???????;????,http://www.xianyou.gov.cn/was5/web/search?channelid=210831&templet=docs.jsp&sortfield=-docreltime&classsql=chnlid=36362&page=1&prepage=1000,,,,text,
,????????;,http://www.xianyou.gov.cn/was5/web/search?channelid=210831&templet=docs.jsp&sortfield=-docreltime&classsql=chnlid=36363&page=1&prepage=1000,,,,text,
???,???????;?????;???????????;,,,,,,
???,???????,"http://www.fjfa.gov.cn/was5/web/search?channelid=226763&templet=advsch.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=19341&prepage=1000&page=1",,,,text,
,?????????,"http://www.fjfa.gov.cn/was5/web/search?channelid=226763&templet=advsch.jsp&sortfield=-docorderpri,-docreltime&classsql=chnlid=19340&prepage=1000&page=1",,,,text,
???,???????;???????????;?????????,"http://www.zherong.gov.cn/was5/web/search?channelid=297603&templet=docs.jsp&sortfield=-pubdate&classsql=(parentid,chnlid+=13436)*(chnlid,parentid+=13436)&prepage=1000&page=1",,,,text,
???,???????;?????????,"http://www.gutian.gov.cn/was5/web/search?channelid=217434&sortfield=-docorderpri,-docreltime&classsql=chnlid=11210&prepage=1000&page=1",,,,text,
???,???????;?????????,http://www.jiaocheng.gov.cn/index.php?c=opennessTarget&m=channel&type=news&_id=&branch_id=560b869e2ddbf11ba0bd9e2f&column_code=0&topic_id=&page=1,/html/body/div/div[2]/div[2]/table/tbody/tr/td/a,text(),/@href,text,
???,???????;?????????;???????????;,http://www.fuding.gov.cn/was5/web/search?channelid=238418&templet=advsch.jsp&sortfield=-pubdate&classsql=docpuburl ='%http://www.fuding.gov.cn/bmzfxxgk/hbj/zfxxgkml/%'*modal=1&random=0.6643006700448726&prepage=1000&page=1,,,,text,
???,???????;?????????,http://www.xiapu.gov.cn/opennessSearch/?type=2&keywords=&field=title&branch_id=59b2150e7f8b9a8c75e53958&from_date=&to_date=&button=??&page=1,/html/body/div[2]/div[3]/ul/li/a,/@title,/@href,pdf link,
???,???????;?????,http://www.pingnan.gov.cn/was5/web/search?channelid=276953&templet=docs.jsp&sortfield=-docreltime&classsql=chnlid=2128&page=1&prepage=1000,,,,text,
???,???????;?????????,"http://www.fjsn.gov.cn/was5/web/search?channelid=274737&templet=advsch.jsp&sortfield=-docorderpri,-docorder&classsql=chnlid=6959&prepage=1000&page=1",,,,pdf link,
,???????;???????,"http://www.fjsn.gov.cn/was5/web/search?channelid=274737&templet=advsch.jsp&sortfield=-docorderpri,-docorder&classsql=chnlid=7266&prepage=1000&page=1",,,,text,
???,?????,http://www.zhouning.gov.cn/was5/web/search?channelid=201176&templet=docs.jsp&sortfield=-docreltime&classsql=chnlid=5135&page=1&prepage=1000,,,,text,
,????;???????,http://www.zhouning.gov.cn/was5/web/search?channelid=201176&templet=docs.jsp&sortfield=-docreltime&classsql=chnlid=5136&page=1&prepage=1000,,,,text,
,,,,,,,
??,???????;????,http://hbt.fujian.gov.cn/zwgk/ztzl/wrygk/list.htm,/html/body/div/table/tbody/tr/td/a,/@title,/@href,docx;text,

